制作公司（母）,子分类,游戏名称,游戏译名,发售日,汉化组,汉化进度,备注,DL推荐,官网,其他网址
Norn,,武将娘と子作り生活 ～凛々しく可憐な戦国美少女があなたの子種を巡ってエロイチャ孕み合戦！～,,2014/5/23,GG漢化組,漢化完成,,,,
Norn,,ニセビッチ～リア充ぶってもピュアで一途な幼なじみにHな子作りレッスン～,與冒牌碧池的戀人養成之路,2015/1/23,默示漢化組,漢化完成,,,,
Norn,,最凶の魔王様が女体化!? ～発情勇者に迫られまくる極エロ孕ませクエスト～,最兇暴的魔王大人女體化！ ？ ～被發情勇者逼迫的極色情任務孕育,2016/5/13,默示漢化組,漢化完成,,,,
Norn,,けもみみハーレム化け～しょん ～田舎でのんびりもふもふ獣耳少女たちと子作り三昧～,我的獸耳後宮,2016/8/26,CKG,官方中文化,,https://store.steampowered.com/app/748480/,,
Norn,,ドＭなハイエルフさんと異世界孕ませスローライフ,與抖Ｍ精靈的異世界靡孕生活,2017/8/25,變態協會·漢化組,漢化完成,,,,
Norn,,クールでMな会長と過激な甘イチャ子作り学園性活,與發情高冷Ｍ會長的過激甜蜜學園生活,2017/11/24,變態協會·漢化組,漢化完成,,,,
Norn,,助けたけもみみ娘たちとイチャイチャ懐かれックスしまくる異世界ファミレス繁盛記,喵妹與狗妹的咖啡屋,2019/6/21,GG漢化組,漢化完成,,,,
Norn,,転生勇者と良妻魔王の子作りスローライフ,轉世勇者和賢妻魔王,2019/8/30,GG漢化組,漢化完成,,,,
,,,,,,,,,,
OVERDRIVE,,キラ☆キラ,kira☆kira煌煌舞台,2007/11/22,萌你妹漢化組,漢化完成,,,,
OVERDRIVE,,電激ストライカー,超電激衝鋒衛士,2011/6/24,個人漢化,漢化完成,包括2012年的追加版本,,,
OVERDRIVE,,Go! Go! Nippon! 2015,,2011/9/30,MangaGamer,官方中文化,"好, 我不知道這三小
總之steam買的到",,https://store.steampowered.com/app/397030/,
OVERDRIVE,,僕が天使になった理由 LOVE SONG OF THE ANGELS.,,2013/2/28,無名,待補,估計已棄坑,,,
OVERDRIVE,,MUSICUS!,,2019/12/20,萌你妹漢化組,漢化中,,,https://musicus.over-drive.jp/,
,,,,,,,,,,
ORBIT,,桃華月憚,,2007/5/25,個人漢化,漢化中,製作公司為ROOT；估計已棄坑,,,
ORBIT,,PARA-SOL,,2010/7/23,《PARA-SOL》中文化委員會,漢化完成,製作公司為ROOT,,,
ORBIT,,キミとボクとエデンの林檎,你和我與伊甸園的蘋果,2011/6/10,KFC風鈴工作室,漢化完成,製作公司為ALMA,,,
,,,,,,,,,,
Overflow（オーバーフロー）,,School Days,日在校園,2005/4/28,SchoolDays漢化組,漢化完成,,,,
Overflow（オーバーフロー）,,SCHOOL DAYS HQ,,2010/10/8,Overflow / SchoolDays漢化組,官方中文化,,https://www.dlsite.com/pro/work/=/product_id/VJ013496.html/,,
Overflow（オーバーフロー）,,SHINY DAYS,,2012/4/27,ShinyDays貼吧漢化組,漢化完成,,,,
,,,,,,,,,,
onomatope*,,めちゃ婚！,特別婚！,2011/4/8,季節的雨滴漢化組,部分漢化,Ver0.45,,,
onomatope*,,俺と5人の嫁さんがラブラブなのは、未来からきた赤ちゃんのおかげに違いない!?,托了未來孩子的福，我娶了五個妻子！？,2012/12/21,綠茶漢化組,漢化完成,,,,
onomatope*,,ずっとすきして たくさんすきして,摯愛隨行 傾慕相伴,2013/6/28,默示遊戲中文化興趣小組,漢化完成,,,,
onomatope*,,彼女が俺にくれたもの。俺が彼女にあげるもの。 ～KISS My Darling：めちゃ婚case3～,特別婚3,2014/9/26,希月學園漢化組,漢化中,,,https://onomatope.site/5th/top.html,
,,,,,,,,,,
PULLTOP / PULLTOP LATTE,,夏少女,,2003/5/30,未來數位,官方中文化,,,,
PULLTOP / PULLTOP LATTE,,お願いお星さま,綺願幸運星,2004/5/28,未來數位,官方中文化,,,,
PULLTOP / PULLTOP LATTE,,ゆのはな,雪之華,2005/3/25,未來數位,官方中文化,,,,
PULLTOP / PULLTOP LATTE,,PRINCESS WALTZ,公主華爾滋,2006/4/28,圓桌漢化組,漢化完成,,,,
PULLTOP / PULLTOP LATTE,,遥かに仰ぎ、麗しの,遙仰凰華,2006/11/24,未來數位 / SST漢化組,官方中文化,,,,
PULLTOP / PULLTOP LATTE,,てとてトライオン！,心手相連獅子崎,2008/8/29,未來數位,官方中文化,,,,
PULLTOP / PULLTOP LATTE,,しろくまベルスターズ?,白熊鈴星群,2009/12/11,未來數位,官方中文化,,,,
PULLTOP / PULLTOP LATTE,,恋神 -ラブカミ-,戀神,2010/10/29,輕文庫 x garland x 籠少女 x 鳳華學院 x 月見漢化組,漢化完成,,,,
PULLTOP / PULLTOP LATTE,,彼女と俺と恋人と。,她和我與戀人,2012/12/14,氪金漢化組,漢化完成,,,,
PULLTOP / PULLTOP LATTE,,この大空に、翼をひろげて,在這蒼穹展翅 / 在這廣闊的天空下展翅吧,2012/5/25,MoeNovel / 羽翼漢化組 / 廢萌統一戰線,官方中文化,,https://store.steampowered.com/app/326480/,,
PULLTOP / PULLTOP LATTE,,この大空に、翼をひろげて FLIGHT DIARY,在這蒼穹展翅 -飛行日誌-,2013/1/25,MoeNovel / 羽翼漢化組,官方中文化,,https://store.steampowered.com/app/923810/,,
PULLTOP / PULLTOP LATTE,,ココロ＠ファンクション！,Cocoro＠Function!,2013/10/25,CFC有愛委員會 (星夜漢化組 & 北見六花應援同好會),漢化中,貌似已棄坑,,,
PULLTOP / PULLTOP LATTE,,見上げてごらん、夜空の星を,抬頭看看吧，看那天上的繁星,2015/12/18,AUGUST中文化委員會,漢化完成,,,,
PULLTOP / PULLTOP LATTE,,見上げてごらん、夜空の星を FINE DAYS,,2016/5/27,默示漢化組,漢化完成,,,,
PULLTOP / PULLTOP LATTE,,見上げてごらん、夜空の星を Interstellar Focus,敬請昂首 看那漫天繁星 Interstellar Focus,2018/6/29,三日月天文台 / 天之聖杯漢化組,漢化完成,,,,
PULLTOP / PULLTOP LATTE,,Love Kami -Sweet Stars-,戀神 -神之舞台-,2017/10/27,MoeNovel,官方中文化,另稱LoveKami -Divinity Stage-,https://store.steampowered.com/app/547340/,,
PULLTOP / PULLTOP LATTE,,Love Kami -Trouble Goddess-,戀神 -無用女神-,2017/10/27,MoeNovel,官方中文化,另稱LoveKami -Useless Goddess-,https://store.steampowered.com/app/1007510/,,
PULLTOP / PULLTOP LATTE,,Love Kami -Healing Harem-,戀神 -治癒後宮-,2018/11/14,MoeNovel,官方中文化,,https://store.steampowered.com/app/938270/,,
PULLTOP / PULLTOP LATTE,,空と海が、ふれあう彼方,碧海晴空、彼岸相連,2018/3/30,MoeNovel,官方中文化,,https://store.steampowered.com/app/820730/,,
,,,,,,,,,,
propeller,,あやかしびと,妖人,2005/6/24,未來數位,官方中文化,,,,
propeller,,Bullet Butlers,槍彈管家,2007/7/27,待補,漢化完成,待確認,,,
propeller,,きっと、澄みわたる朝色よりも、,從晴朗的朝色泛起之際開始,2009/7/24,妹乃萌漢化組,漢化完成,,,,
propeller,,すきま桜とうその都会,隙間櫻花與謊言都市,2011/6/24,萌坑工程隊,漢化完成,,,,
propeller,,東京バベル,東京巴別塔,2012/8/31,刻痕漢化組,漢化中,估計已棄坑,,,
propeller,,願いの欠片と白銀の契約者,願望的碎片與白銀契約者,2013/8/23,白衣漢化組 / ATF漢化組,漢化完成,,,,
,,,,,,,,,,
Parasol,,恋妹SWEET☆DAYS,,2012/5/25,渚櫻漢化組,待補,估計已棄坑,,,
Parasol,,ゆめこい ～夢見る魔法少女と恋の呪文～,,2013/5/31,個人漢化,待補,估計已棄坑,,,
Parasol,,晴のちきっと菜の花びより,雨過天晴必定花開日和,2014/8/29,X'moe漢化組,漢化完成,,,,
Parasol,,彼女と俺の恋愛日常,女友與我的戀愛日常,2017/1/27,Studio Kanata,官方中文化,卡steam審查,,,
Parasol,,桜ひとひら恋もよう,櫻舞落花戀模樣,2017/9/29,Studio Kanata / 綠茶漢化組,官方中文化,,https://store.steampowered.com/app/873290,,
,,,,,,,,,,
Purple software（パープルソフトウェア）,,秋色恋華,,2005/2/25,KDays漢化組,漢化中,估計已棄坑,,,
Purple software（パープルソフトウェア）,,明日の君と逢うために,為與明日君相逢,2007/11/30,CK-GAL中文化小組,漢化完成,,,,
Purple software（パープルソフトウェア）,,未来ノスタルジア,未來鄉愁,2011/9/2,CK-GAL中文化小組,部分漢化,三線漢化,,,
Purple software（パープルソフトウェア）,,ハピメア,幸福噩夢,2013/2/28,里想奈騎士團 / ハピメア漢化協會,漢化完成,,,,
Purple software（パープルソフトウェア）,,ハピメア Fragmentation Dream,幸福噩夢FD,2014/2/28,里想奈騎士團,漢化完成,,,,
Purple software（パープルソフトウェア）,,アマツツミ,天津罪,2016/7/29,X'moe漢化組,漢化中,已有體驗版漢化,,,
Purple software（パープルソフトウェア）,,アオイトリ,青鳥,2017/11/24,天之聖杯漢化組,漢化完成,,,,
Purple software（パープルソフトウェア）,,リアライブ,Realive,2019/3/29,天之聖杯漢化組,漢化中,已有體驗版漢化,,,
Purple software（パープルソフトウェア）,,青春フラジャイル,玻璃青春,2020/8/28,天之聖杯漢化組,預定漢化,已有體驗版漢化,,,
,,,,,,,,,,
Peaky（ピーキー）,,妹ニート更正調教,自閉妹妹的重生調教,2015/6/26,心願屋漢化組,漢化完成,,,,
Peaky（ピーキー）,,なまいき純情不良少女,,2015/9/25,心願屋漢化組,漢化完成,,,,
Peaky（ピーキー）,,幼すぎる家庭教師,太過幼齒的家庭教師,2016/9/30,心願屋漢化組,漢化完成,,,,
Peaky（ピーキー）,,ふれあい ～傷だらけの少女を甘やかす～,互相觸碰～嬌慣滿是傷痕的少女,2017/4/28,心願屋漢化組,漢化完成,,,,
,,,,,,,,,,
Ricotta（リコッタ）,,プリンセスラバー！,公主戀人(PrincessLover!),2008/6/27,私立秀峰學院漢化組,漢化完成,,,,
Ricotta（リコッタ）,,ワルキューレロマンツェ,少女騎士物語,2011/10/28,心願屋漢化組(from哈尼喵) / 寢取妹妹漢化組,漢化完成,,,,
Ricotta（リコッタ）,,ワルキューレロマンツェ More＆More,,2013/10/25,個人漢化,漢化完成,,,,
,,,,,,,,,,
Rosebleu（ロゼブル）,,Stellar☆Theater,,2009/6/26,星鈴漢化組,漢化完成,,,,
Rosebleu（ロゼブル）,,Tiny Dungeon～BLACK and WHITE～,,2010/6/25,K1&真純愛同好會,漢化完成,,,,
Rosebleu（ロゼブル）,,Tiny Dungeon～BLESS of DRAGON～,,2010/12/24,K1&真純愛同好會,漢化完成,,,,
Rosebleu（ロゼブル）,,Stellar☆Theater encore,Stellar FD,2011/6/24,X'moe漢化組,漢化中,貌似已棄坑,,,
Rosebleu（ロゼブル）,,Tiny Dungeon～BIRTH for YOURS～,,2011/7/29,K1&真純愛同好會,漢化完成,,,,
Rosebleu（ロゼブル）,,Tiny Dungeon～BRAVE or SLAVE～,,2012/7/27,K1&真純愛同好會,漢化完成,,,,
Rosebleu（ロゼブル）,,Endless Dungeon,,2014/3/28,臉腫漢化組,漢化完成,,,,
,,,,,,,,,,
RASK,,Re：LieF ～親愛なるあなたへ～,Re：LieF ～給摯愛的你～,2016/10/28,默示漢化組,漢化完成,,,,
TrymenT,,TrymenT ―今を変えたいと願うあなたへ― [AlphA編],TrymenT―獻給渴望改變的你―,2020/2/20,HIKARI FIELD,官方中文化,,https://store.steampowered.com/app/1183260/,,
,,,,,,,,,,
SAGA PLANETS,,ナツユメナギサ,夏夢渚,2009/7/31,PRO2漢化小組,漢化完成,,,,
SAGA PLANETS,,キサラギGOLD★STAR,如月金星,2010/10/29,秋櫻莊漢化委員會,漢化完成,,,,
SAGA PLANETS,,はつゆきさくら,初雪櫻,2012/2/24,PRO2漢化小組,漢化完成,,,,
SAGA PLANETS,,カルマルカ＊サークル,卡盧瑪盧卡＊同好會,2013/9/27,卡盧瑪盧卡研究會,漢化完成,,,,
SAGA PLANETS,,花咲ワークスプリング！,花咲workspring!,2015/3/27,城彩學園漢化組,漢化完成,,,,
SAGA PLANETS,,フローラル?フローラブ,花之天使的夏日戀歌,2016/7/29,仲夏夜會漢化組,漢化完成,,,,
SAGA PLANETS,,金色ラブリッチェ,金輝戀曲四重奏,2017/12/22,Hikari Field / 仲夏夜會漢化組,漢化完成,中文化進行中,,,https://hikarifield.co.jp/kinkoi/
,,,,,,,,,,
Silver Bullet,,雪影-setsuei-,,2006/3/24,老埋漢化組,漢化完成,,,,
Silver Bullet,,桜吹雪～千年の恋をしました～,櫻吹雪～千年之戀～,2009/4/24,珍愛漢化組,漢化完成,,,,
Silver Bullet,,花鳥風月～恋ニヲチタル花園ノ姫～,花鳥風月 ～墜入愛河的花園之姬～,2009/12/18,心願屋漢化組,漢化完成,,,,
Silver Bullet,,こんそめ！～combination somebody～,,2010/6/25,心願屋漢化組,漢化完成,,,,
Silver Bullet,,夏雪～summer_snow～,,2011/6/3,心願屋漢化組,漢化完成,,,,
Silver Bullet,,妹びらいざー！,妹-鎖-,2012/8/31,心願屋漢化組 / 曉翼漢化組,漢化完成,,,,
,,,,,,,,,,
SORAHANE,,AQUA,,2011/1/28,夏翼漢化組,部分漢化,,,,
SORAHANE,,さくら、咲きました。,櫻花已然綻放。,2012/8/24,>ω<after漢化組,漢化完成,,,,
SORAHANE,,はるかかなた,遙遠彼方,2014/5/30,北見六花後援同好會,待補,,,,
,,,,,,,,,,
sprite / fairys,,恋と選挙とチョコレート,戀愛、選舉、巧克力,2010/10/29,LOS Studio,漢化完成,聽說bug有點多,,,
sprite / fairys,,いますぐお兄ちゃんに妹だっていいたい！,現在就想告訴哥哥我是妹妹,2012/12/14,My萌漢化組 / 神風小隊漢化組,部分漢化,僅第一章漢化,,,
sprite / fairys,,蒼の彼方のフォーリズム,蒼之彼方的四重奏,2014/11/28,"Hikari Field / NekoNyan
萌你妹 x 北見六花應援同好會",官方中文化,,https://store.steampowered.com/app/1044620/,,
sprite / fairys,,蒼の彼方のフォーリズム EXTRA1,,2017/6/30,Hikari Field / 萌你妹漢化組,中文化進行中,,,,
,,,,,,,,,,
Studio e.go!,出雲戰記系列,IZUMO,出雲戰記 (IZUMOEX),2001/12/21,E.go Club漢化工作室,漢化完成,,,,
Studio e.go!,出雲戰記系列,IZUMO2,,2004/7/30,AUGUST中文化委員會,漢化完成,,,,
Studio e.go!,出雲戰記系列,IZUMO2 学園狂想曲,,2006/4/28,AUGUST中文化委員會,漢化完成,,,,
Studio e.go!,出雲戰記系列,IZUMO零,,2005/9/22,雪飄工作室(晴組) / 心願屋漢化組,漢化完成,,,,
Studio e.go!,Man At Work!系列,メンアットワーク！2　～ハンターアカデミーへようこそ～,Men at Work!2 永遠的羈絆,2000/11/17,信必優多媒體,官方中文化,,,,
Studio e.go!,Man At Work!系列,メンアットワーク！3　～ハンター達の青春～,Men at Work!3 獵人們的青春,2002/12/27,EGC漢化工作室,漢化完成,,,,
Studio e.go!,Man At Work!系列,メンアットワーク！4 ～ハンター達よ永遠に～,,2006/9/1,心願屋漢化組,漢化中,估計已棄坑,,,
Studio e.go!,Other (Studio e.go!),紅涙,,1999/12/17,信必優多媒體,官方中文化,,,,
Studio e.go!,Other (Studio e.go!),蒼ざめた月の光,蒼青色的月光,2001/4/20,EGC漢化工作室,漢化完成,,,,
Studio e.go!,Other (Studio e.go!),マイ?フェア?エンジェル,我的美麗天使 / My fair Angel,2001/7/27,EGC漢化工作室,漢化完成,,,,
Studio e.go!,Other (Studio e.go!),ひとがたルイン,人偶遺跡,2004/12/24,EGC漢化工作室,漢化完成,,,,
Studio e.go!,Other (Studio e.go!),雪のとける頃に,雪融化的時刻,2002/4/19,EGC漢化工作室,漢化完成,,,,
Studio e.go!,Other (Studio e.go!),キャッスルファンタジア～聖魔大戦～,城堡幻想曲2 (新聖魔大戰),2000/12/22,EGC漢化工作室 / 信必優多媒體,官方中文化,,,,
Studio e.go!,Other (Studio e.go!),PYTHIAN,亂世奇緣,1999/5/28,信必優多媒體,漢化完成,,,,
Studio e.go!,Other (Studio e.go!),エーベンブルグの風,愛本堡之風,2002/7/26,EGC漢化工作室,漢化完成,,,,
Studio e.go!,Other (Studio e.go!),キャッスルファンタジア ～アリハト戦記～,城堡幻想曲2 阿里哈特戰記,2005/12/22,EGC漢化工作室,漢化完成,收錄於《でぼの巣箱》,,,
Studio e.go!,Other (Studio e.go!),キャッスルファンタジア ～エレンシア戦記～リニューアル,城堡幻想曲3 艾倫西亞戰記,2000/4/21,EGC漢化工作室 / 信必優多媒體,官方中文化,,,,
Studio e.go!,Other (Studio e.go!),Vagrants (ベイグランツ),流浪者,2003/12/26,EGC漢化工作室,漢化完成,,,,
Studio e.go!,Other (Studio e.go!),魔王の娘たち,魔王的女兒們,2004/4/23,心願屋漢化組,漢化完成,,,,
Studio e.go!,Other (Studio e.go!),風の継承者,風之繼承者,2004/11/26,待補,漢化完成,,,,
Studio e.go!,Other (Studio e.go!),鬼神楽,,2005/4/28,心願屋漢化組,漢化完成,,,,
Studio e.go!,Other (Studio e.go!),天神楽,,2005/12/22,待補,漢化完成,,,,
,,,,,,,,,,
SkyFish / SkyFish poco,,にゃんカフェマキアート ～猫がいるカフェのえっち事情～,喵~瑪奇朵咖啡,2013/8/30,渚櫻漢化組,部分漢化,僅H部分(夠你撸到天昏地暗),,,
SkyFish / SkyFish poco,,九十九の奏～欠け月の夜想曲～,九十九的奏～缺月夜曲～,2012/9/28,汐月漢化組,漢化中,估計已棄坑,,,
SkyFish / SkyFish poco,,BLADE×BULLET　金輪のソレイユ,,2017/8/25,默示漢化組,漢化完成,,,,
SkyFish / SkyFish poco,,こねこねこねこ,喵咪喵咪喵,2018/4/27,守夜人漢化組,漢化完成,,,,
,,,,,,,,,,
SEGA,,サクラ大戦,櫻花大戰,1996/9/27,大新資訊,官方中文化,,,,
SEGA,,サクラ大戦2～君、死にたもうことなかれ～,櫻花大戰2 ～願君平安～,1998/4/4,大新資訊,官方中文化,,,,
SEGA,,サクラ大戦3～巴里はもえているか～,櫻花大戰3 ～巴黎在燃燒嗎～,2001/3/22,大新資訊,官方中文化,,,,
SEGA,,サクラ大戦4～恋せよ乙女～,櫻花大戰4～戀愛吧少女～,2002/3/21,英特衛,官方中文化,,,,
,,,,,,,,,,
SILKY'S PLUS,,景の海のアペイリア,景之海的艾佩莉婭,2017/7/28,默示遊戲中文化興趣小組 / 萌AI同好會,漢化完成,,,,
SILKY'S PLUS,,バタフライシーカー,尋蝶者,2018/3/30,年霸罰抄漢化組,漢化完成,,,,
SILKY'S PLUS,,きまぐれテンプテーション,異想魅惑,2019/9/27,"Sekai Project / Syawase Works
萌你妹漢化組 / 胖次漢化組",漢化完成,中文化進行中,,,
,,,,,,,,,,
SukeraSparo,,ことのはアムリラート,言語關係,2017/8/25,MangaGamer / KFC漢化組,官方中文化,,https://store.steampowered.com/app/1044490,,
SukeraSomero,,推しのラブより恋のラブ,一生推不如一生戀,2020/2/28,HUBLOTS,官方中文化,,https://store.steampowered.com/app/1233270/,,
,,,,,,,,,,
Shiratama（しらたま）,,妻ようじ～ボクは人妻管理人～,妻管員～美女公寓管理員～,2007/2/23,未來數位,官方中文化,,,,
Shiratama（しらたま）,,虹色あるけミカン～Magic of alchemy～,虹色鍊金橘子,2007/8/31,未來數位,官方中文化,,,,
Shiratama（しらたま）,,はぴほす！～お世話されます入院生活～,欲情病棟！波濤洶湧、左擁右抱的入院生活,2008/5/2,未來數位,官方中文化,,,,
Shiratama（しらたま）,,妻ようじ2～ボクは人妻添乗員～,妻管員2～美女巴士領航員～,2008/5/23,未來數位,官方中文化,,,,
Shiratama（しらたま）,,2度咲き！タルトレット,二度綻放!十月櫻,2009/6/26,未來數位,官方中文化,,,,
,,,,,,,,,,
seal-QUALIA,,あまたらすリドルスター,無限閃耀的迷之星,2013/11/29,白井木學園漢化組,漢化中,,,,
seal-tutu,,異世界風俗始めました！？ ～転生したらハーレム性活が待ってました～,異世界風俗始轉生,2017/10/27,個人漢化,漢化完成,,,,
softhouse-seal,,聖凌学園レイプ同好会,,2006/8/9,待補,漢化完成,,,,
softhouse-seal,,性春☆ダイナマイトっ！！～イケない放課後～,青春☆炸藥！ ！ ～淫蕩的放學後～,2007/3/23,心願屋漢化組,漢化完成,,,,
softhouse-seal,,ラッキー☆バード -エッチな幸運…これってホントにラッキーか!?-,幸運祝詞,2009/5/1,白井木學園漢化組,漢化完成,,,,
softhouse-seal,,ママは女子校生,媽媽是女子校生,2010/3/26,個人漢化,漢化完成,,,,
softhouse-seal,,覗き見バイブレーション ～覗いて弄って楽しんで～,窺視名玩,2015/7/10,默示漢化組,漢化完成,,,,
softhouse-seal GRANDEE,,ぜったい遵守☆強制子作り許可証!!,,2010/5/28,心願屋漢化組,漢化完成,,,,
softhouse-seal GRANDEE,,ぜったい絶頂☆性器の大発明!!―処女を狙う学園道具多発エロ―,,2011/3/31,待補,漢化完成,,,,
softhouse-seal GRANDEE,,ぜったい最胸☆おっぱい戦争!! ～巨乳王国vs貧乳王国～,,2012/10/26,臉腫漢化組,部分漢化,,,,
softhouse-seal GRANDEE,,ももいろ性癖開放宣言！,,2014/3/28,心願屋漢化組,漢化完成,,,,
softhouse-seal GRANDEE,,天精国取りセックス合戦!!,天精國取性愛大合戰,2014/10/31,白井木學園漢化組,漢化中,,,,
softhouse-seal GRANDEE,,イマドキ罵倒るファンタジー ～勇者と魔王の同棲性活～,現今破口大罵幻想曲,2018/5/25,心願屋漢化組,漢化完成,,,,
softhouse-seal（Anime-seal）,,いもうと誘惑えっち ～ねぇ、お兄ちゃんエッチしよ～,,2012/11/2,待補,漢化完成,,,,
softhouse-seal（Devil-seal）,,彼の為に出来ること,為了他所做的事情,2011/7/29,臉腫漢化組,漢化完成,,,,
softhouse-seal（Devil-seal）,,淫習村 ～淫靡な風習に堕ちる家族～,,2013/4/26,臉腫漢化組,漢化完成,,,,
softhouse-seal（Devil-seal）,,豚便器 ～醜悪オークに子種を注がれる女子校生～,,2013/8/30,夢痕遊戲,漢化完成,,,,
softhouse-seal（Devil-seal）,,獣耳魔法少女セリナ ～追ワレ穢サレ家畜ニ堕チル～,獸耳魔法少女世利,2015/8/28,心願屋漢化組,漢化完成,,,,
softhouse-seal（Re：verse）,,The World of Rapest,,2007/11/9,心願屋漢化組,漢化完成,,,,
softhouse-seal（Re：verse）,,めたもるふぉ～ぜ ～変容！変身!! 大変態っ!?～,,2008/9/19,待補,漢化完成,,,,
softhouse-seal（Re：verse）,,Mr.Invisible -Legend of Rapest-,,2008/10/24,心願屋漢化組,漢化完成,,,,
softhouse-seal（Re：verse）,,ヤリまん娘 ～俺の妹はビチビチビッチ～,,2013/7/26,臉腫漢化組,漢化完成,,,,
SAMOYED SMILE,,さみだれグローインアップ！,青春期的五月雨,2015/11/27,默示中文化興趣小組,漢化完成,,,,
SAMOYED SMILE,,夜巡る、ボクらの迷子教室,夜晚，徘徊在我們的輔導教室,2017/11/24,心願屋漢化組,漢化完成,,,,
,,,,,,,,,,
SQUEEZ,,炎の孕ませおっぱい乳同級生,如火炎一般，讓母?乳同班同學懷孕吧！,2012/11/16,炎孕問題少女漢化組,部分漢化,Ver0.3,,,
SQUEEZ,,炎の孕ませ乳ドルマイ★スター学園Z,,2014/3/20,個人漢化,漢化中,,,,
MILK FACTORY!（みるくふぁくとりー）,,もっと！孕ませ！炎のおっぱい超エロアプリ学園！,炎孕超工口APP學園,2019/11/29,炎孕問題少女漢化組,漢化完成,,,,
,,,,,,,,,,
TYPE-MOON,同人時期,月姫,,2000/12/29,月姬野人漢化組 / 個人漢化,漢化完成,同人,,,
TYPE-MOON,同人時期,月姫 PLUS-DISC,,2001/1/21,朱月臨時漢化組,漢化完成,同人,,,
TYPE-MOON,同人時期,歌月十夜,,2001/8/10,KID製作組,漢化完成,同人,,,
TYPE-MOON,TYPE-MOON（タイプムーン）,Fate/stay night,,2004/1/30,無名,漢化完成,,,,
TYPE-MOON,TYPE-MOON（タイプムーン）,魔法使いの夜,魔法使之夜,2012/4/12,ATF漢化組 / Type-Moon應援會 / 個人漢化,漢化完成,,,,
TYPE-MOON,TYPE-MOON（タイプムーン）,Fate/hollow ataraxia,,2005/10/28,澄空學園FateHA漢化組 / 個人漢化,部分漢化,已棄坑,,,
TYPE-MOON,TYPE-MOON（タイプムーン）,Fate/EXTRA CCC,,2013/3/28,待補,漢化中,平台為PSP,,,
TYPE-MOON,,Fate/EXTELLA,,2016/11/10,Marvelous / XSEED Games,官方中文化,,https://store.steampowered.com/app/511680/,,
TYPE-MOON,,Fate/EXTELLA LINK,,2018/6/7,SEGA / XSEED Games,官方中文化,,https://store.steampowered.com/app/622220/,,
,,,,,,,,,,
tone work's,,初恋１／１,,2012/6/29,星岡學園文學社,漢化完成,,,,
tone work's,,星織ユメミライ,星空下編織夢色未來,2014/7/25,星岡汐織天文交流會,部分漢化,,,,
tone work’s,,銀色、遥か,銀色遙遠,2016/8/26,心願屋漢化組,漢化完成,,,,
tone work’s,,月の彼方で逢いましょう,相逢在明月映照的彼岸,2019/6/28,星岡學園文學社 / 心願屋漢化組,漢化中,已有體驗版漢化,,,
,,,,,,,,,,
Tinkle Position,,お兄ちゃん、キッスの準備はまだですか？,哥哥，還沒做好KISS的準備嗎？,2016/4/28,心願屋漢化組,漢化完成,,,,
Tinkle Position,,お兄ちゃん、キッスの準備はまだですか？ エッチの準備もまだですか？,哥哥，還沒做好KISS的準備嗎？還沒做好H的準備嗎？,2017/2/24,心願屋漢化組,漢化完成,,,,
Tinkle Position,,お兄ちゃん、朝までずっとギュッてして！,哥哥，早上起床之前都要抱緊我哦！,2018/5/25,臉腫漢化組,漢化完成,,,,
Tinkle Position,,お兄ちゃん、朝までずっとギュッてして！ 夜までもっとエッチして！,哥哥，早上起床之前都要抱緊我喔！晚上睡覺之前做更多色色的事吧！,2019/6/28,臉腫漢化組,漢化完成,,,,
,,,,,,,,,,
TRYSET,,ボクらのヒミツ基地大作戦 ～エスケープ ひとなつのおもいで～,,2016/12/22,心願屋漢化組,漢化完成,,,,
TRYSET Break,,痴漢電車3～孕ませ復讐オトリ捜査官～,,2020/2/28,夢痕遊戲,漢化完成,,,,
TRYSET Break,,黒ビッチギャルがキモオタに堕ちるまで～監禁○辱配信日記～,,2020/4/24,夢痕遊戲,漢化完成,,,,
TRYSET MAD,,妹欲DEAD催眠,,2014/9/26,心願屋漢化組,漢化完成,,,,
,,,,,,,,,,
unicorn-a / げーせん18,,戦極姫4 ～争覇百計、花守る誓い～,戰極姬4~爭霸百計，護花之誓~,2012/12/14,年糕漢化組,漢化中,估計已棄坑,,,
,,,,,,,,,,
UNiSONSHIFT（ユニゾンシフト）,,ななついろ★ドロップス,七色★星露,2006/4/21,奧克漢化組,漢化完成,,,,
UNiSONSHIFT（ユニゾンシフト）,,ALICE?ぱれーど～ふたりのアリスと不思議の乙女たち～,愛麗絲大遊行,2007/10/12,三輝漢化組,漢化中,,,,
UNiSONSHIFT（ユニゾンシフト）,,Flyable Heart,戀色甜點,2009/3/19,kirakira漢化組,漢化完成,,,,
UNiSONSHIFT（ユニゾンシフト）,,君の名残は静かに揺れて,君之餘影靜靜地搖曳著,2010/5/28,SORA漢化組 / kirakira漢化組,漢化完成,,,,
UNiSONSHIFT（ユニゾンシフト）,,Flyable CandyHeart,,2011/2/25,SORA漢化組,漢化完成,,,,
UNiSONSHIFT（ユニゾンシフト）,,時計仕掛けのレイライン -黄昏時の境界線-,時鐘機關的Ley-line -黃昏時的境界線-,2012/7/27,A.T.Field漢化組,漢化完成,,,,
